ID,Name,Designator,Footprint,Quantity
1,10k,"R2, R3",R0805,2
2,200k,R8,R0805,1
3,49.9k,R9,R0805,1
4,150k,R18,R0805,1
5,100k,"R1, R4, R5, R6, R7, R11, R12, R13, R14, R15, R16, R19, R21, R22, R24, R25, R26, R27, R28, R29, R30, R31",R0805,22
6,0.1uF,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C16, C17, C18, C19, C23, C24, C27, C28, C29, C33, C34, C35",C0805,24
7,X4611WV-04I-C28D40,"H1, H3, H7, H9",HDR-TH_4P-P2.00-V-M,4
8,X4611WV-05I-C28D40,"H2, H4, H5, H6, H8",HDR-TH_5P-P2.00-V-M,5
9,DG408DY-E3,U3,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1
10,CD4028BM96,U5,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1
11,CD4081BM,"U11, U12",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2
12,DG409DY-E3,"U1, U6",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2
13,SN74HCS74QDRQ1,"U13, U14, U15, U16, U17, U18",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,6
14,MAX333AEWP+T,U8,SOIC-20_L13.0-W7.6-P1.27-LS10.3-BL,1
15,20k,"VR1, VR2",PV36W-MULTITURN-TRIMMER,2
16,330pF,"C20, C26, C31, C36",C0805,4
17,10pF,"C13, C14, C21, C22, C25, C32",C0805,6
18,619R,"R10, R17, R20, R23",R0805,4
19,CD4029BCSJ,U2,SOIC16N,1
20,AP331AWG-7,U4,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,1
21,TL072_SMD,U7,SO08,1
22,OPA4196ID,"U9, U10",SOIC-14_150MIL,2
